"sep=	"
Shimmer_6749_TimestampSync_Unix_CAL	Shimmer_6749_ECG_EMG_Status1_CAL	Shimmer_6749_ECG_EMG_Status2_CAL	Shimmer_6749_ECG_LA-RA_24BIT_CAL	Shimmer_6749_ECG_LL-LA_24BIT_CAL	Shimmer_6749_ECG_LL-RA_24BIT_CAL	Shimmer_6749_ECG_Vx-RL_24BIT_CAL	
ms	no_units	no_units	mV	mV	mV	mV	
1.738821054286183E12	128.0	128.0	36.36033551220125	-22.43177383324788	13.928561678953372	-605.0000721216288	
1.7388210543057122E12	128.0	128.0	36.40901761162491	-22.786395881938443	13.622621729686468	-605.0000721216288	
1.7388210543252412E12	128.0	128.0	36.52917224516538	-22.597725701060973	13.931446544104404	-605.0000721216288	
1.73882105434477E12	128.0	128.0	36.624733403293305	-22.736199228310497	13.888534174982809	-605.0000721216288	
1.738821054364299E12	128.0	128.0	36.698585951159714	-22.763172717472642	13.935413233687072	-605.0000721216288	
1.7388210543838281E12	128.0	128.0	36.784410689402904	-22.859238727001994	13.92517196240091	-605.0000721216288	
1.7388210544033572E12	128.0	128.0	36.85508988560318	-22.909074772486065	13.946015113117113	-605.0000721216288	
1.7388210544228862E12	128.0	128.0	36.93882309661187	-23.010622025802377	13.928201070809493	-605.0000721216288	
1.7388210544424153E12	128.0	128.0	37.01541626637176	-23.057573206135416	13.957843060236343	-605.0000721216288	
1.7388210544619443E12	128.0	128.0	37.0936682335935	-23.166260500700538	13.92740773289296	-605.0000721216288	
1.7388210544814734E12	128.0	128.0	37.17624749854178	-23.220063235767277	13.9561842627745	-605.0000721216288	
1.7388210545010024E12	128.0	128.0	37.251470357354926	-23.299757635564525	13.9517127217904	-605.0000721216288	
1.7388210545205312E12	128.0	128.0	37.2813287116681	-23.658202130580204	13.623126581087899	-605.0000721216288	
1.7388210545400603E12	128.0	128.0	37.41785495494067	-23.45849734050004	13.959357614440634	-605.0000721216288	
1.7388210545595894E12	128.0	128.0	37.438049010997894	-23.81275878104672	13.625290229951172	-605.0000721216288	
1.7388210545791184E12	128.0	128.0	37.56260306389368	-23.576632568434782	13.9859704954589	-605.0000721216288	
1.7388210545986475E12	128.0	128.0	37.59303839123707	-23.930894008981472	13.662144382255601	-605.0000721216288	
1.7388210546181765E12	128.0	128.0	37.7255258232982	-23.738978354809092	13.986547468489107	-605.0000721216288	
1.7388210546377056E12	128.0	128.0	37.74074348696989	-24.093600403499654	13.647143083470237	-605.0000721216288	
1.7388210546572346E12	128.0	128.0	37.74059924371234	-24.308306492365183	13.432292751347156	-605.0000721216288	
1.7388210546767637E12	128.0	128.0	37.89118920459619	-24.21252896935093	13.678660235245257	-605.0000721216288	
1.7388210546962925E12	128.0	128.0	37.893136488573134	-24.455290371810243	13.437846116762891	-605.0000721216288	
1.7388210547158215E12	128.0	128.0	38.019349338930766	-24.329438129596486	13.68991120933428	-605.0000721216288	
1.7388210547353506E12	128.0	128.0	38.02858090741407	-24.588571141787902	13.440009765626165	-605.0000721216288	
